Origen,Destino,Tipo Viaje,Distancia (Km),Tiempo vuelo, Costo vuelo ,Tiempo espera, Cuota Aeropuerto , Impuesto ,Tiempo Aduana,Tiempo total (Hrs),Descuento, Costo total ,,,,,
Reino del Bosque,Erebor,N,500,4.5,"$2,450.00",,,,,,,,,,,,
Reino del Bosque,Rivendel,N,950,2.4,"$2,100.00",,,,,,,,,,,,
Narnia,Telmar,N,400,1.3,"$1,800.00",,,,,,,,,,,,
Narnia,Charn,N,450,3.4,"$3,125.00",,,,,,,,,,,,
Narnia,Gondor,I,550,4.1,"$2,875.00",,,,,,,,,,,,
Narnia,Ciudad Esmeralda,I,"1,300.00",5.6,"$4,750.00",,,,,,,,,,,,
Telmar,Narnia,N,400,1.3,"$1,500.00",,,,,,,,,,,,
Telmar,Rivendel,I,"1,100.00",5.2,"$3,750.00",,,,,,,,,,,,
Charn,Narnia,N,450,3.4,"$1,225.00",,,,,,,,,,,,
Charn,Winkie,I,700,3.4,$875.00,,,,,,,,,,,,
Ciudad Esmeralda,Munchkin,N,200,0.9,"$1,600.00",,,,,,,,,,,,
Ciudad Esmeralda,Winkie,N,300,3.1,"$2,250.00",,,,,,,,,,,,
Ciudad Esmeralda,Gondor,I,"1,100.00",5.2,"$4,250.00",,,,,,,,,,,,
Ciudad Esmeralda,Narnia,I,"1,300.00",5.6,"$4,750.00",,,,,,,,,,,,
Winkie,Ciudad Esmeralda,N,300,2.1,"$1,950.00",,,,,,,,,,,,
Winkie,Mordor,I,600,3.2,$750.00,,,,,,,,,,,,
Winkie,Charn,I,700,3.4,$875.00,,,,,,,,,,,,
